"","Var1","Freq"
"1","acorn woodpecker",4
"2","allen's hummingbird",24
"3","allens humminbird",2
"4","american crow",10
"5","american kestrel",2
"6","american robin",5
"7","anna's hummingbird",5
"8","band-tailed pigeon",6
"9","barn owl",2
"10","belted kingfisher",1
"11","bewick's wren",8
"12","black-crowned night-heron",1
"13","black-headed grosbeak",3
"14","black phoebe",3
"15","brant's cormorant",1
"16","bt pigeon",1
"17","bullock's oriole",1
"18","burrowing owl",2
"19","bushtit",1
"20","california quail",1
"21","california scrub-jay",3
"22","california towhee",12
"23","caspian tern",1
"24","cassin's kingbird",1
"25","cedar waxwing",1
"26","common poorwill",1
"27","common raven",4
"28","cooper's hawk",12
"29","dark-eyed junco",3
"30","downy woodpecker",1
"31","eurasian collared dove",1
"32","gambel's quail",1
"33","great-horned owl",3
"34","great egret",1
"35","great horned owl",4
"36","guadalupe murrelet",1
"37","hermit thrush",5
"38","hooded oriole",2
"39","horned lark",1
"40","house finch",16
"41","house sparrow",4
"42","house wren",1
"43","hummingbird sp",1
"44","island scrub-jay",3
"45","least storm-petrel",1
"46","lesser goldfinch",6
"47","mountain chickadee",1
"48","mourning dove",12
"49","northern flicker",2
"50","northern fulmar",1
"51","northern mockingbird",1
"52","nuttall's woodpecker",3
"53","oak titmouse",1
"54","orange-crowned warbler",7
"55","peregrine falcon",1
"56","pigeon guillemot",1
"57","red-breasted nuthatch",1
"58","red-necked phalarope",1
"59","red-shouldered hawk",5
"60","red-tailed hawk",8
"61","rose-breasted grosbeak",1
"62","ruby-crowned kinglet",2
"63","say's phoebe",1
"64","scaly-breasted munia",9
"65","sharp-shinned hawk",1
"66","sooty shearwater",1
"67","sora",2
"68","spotted towhee",3
"69","swainson's thrush",5
"70","swinhoe's white-eye",1
"71","townsend's solitaire",1
"72","townsend's warbler",2
"73","virginia rail",1
"74","warbling vireo",1
"75","western bluebird",1
"76","western grebe",1
"77","western gull",4
"78","western meadowlark",1
"79","western screech owl",2
"80","western tanager",2
"81","white-cheeked turaco",1
"82","white-crowned sparrow",8
"83","white-throated swift",2
"84","white throated swift",1
"85","willow flycatcher",1
"86","wilson's warbler",3
"87","wrentit",2
"88","yellow-rumped warbler",2
